,Domestic production of solid biomass,Total imports of solid biomass,Total primary production of biogas,Domestic production of liquid biomass,Total production from forestry (forest wood),"Total production from other solid biomass (non-forest wood, straw, wood chips, logs…)","Biogas production from food waste, oil waste",Biogas production from solid / liquid manure (methanised livestock manure),Biogas production from methanised crop residues,Primary energy production from methanised intermediate crops,Biogas production from methanised grass and fodder crops,Biogas production from other sources,Total Final energy consumption in agriculture,Final energy consumption from solid fossil fuels (coal ...) in agriculture,Final energy consumption from solid biomass in agriculture,Final oil consumption in agriculture,Final energy consumption from gas grid / gas consumed locally in agriculture,Final electricity consumption in agriculture,Total CO2 emissions from agriculture,CO2 emissions from the use of soil improvers and fertilisers,CO2 emissions from energy combustion in agriculture,Total CH4 emissions from agriculture,CH4 emissions from enteric fermentation,CH4 emissions from livestock manure,"Other CH4 emissions from agriculture (rice, residue burning)",Total N2O emissions from agriculture,N2O emissions from livestock and livestock manure,N2O emissions from soils,"Other N2O emissions from agriculture (organic soils, residue burning)","Other GHG (HFC, PFC, SF6) emissions from agriculture",Total CO2 emissions from the LULUCF sector,CO2 emissions from LULUCF in forest,CO2 emissions from LULUCF in non-forest areas,Total CH4 emissions from the LULUCF sector,CH4 emissions from LULUCF in forest,CH4 emissions from LULUCF in non-forest areas,Total N2O emissions from the LULUCF sector,N2O emissions from LULUCF in forest,N2O emissions from LULUCF in non-forest areas,"Total other GHG (HFC, PFC, SF6) emissions from the LULUCF sector","Other GHG (HFC, PFC, SF6) emissions from LULUCF in forest","Other GHG (HFC, PFC, SF6) emissions from LULUCF in non-forest areas",Total net GHG emissions from non-energy sources in agriculture,Any general comment on Solagro figures?
FR,193.481685262905,-6.5446142510082,131.350960455365,22.885366235069,85.889508819504,107.592176443401,2.80681369650247,14.0910294895948,34.3305990453441,64.5349099532063,15.587608270717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88803384505878,1.88803384505878,0.0,17.9618053462554,17.2874124559785,0.53007439027696,0.1443185,14.2684360906541,0.887226508664029,13.3667387019901,0.01447088,0.0,-63.4858651411668,-80.5548320036443,17.0689668624774,1.158997,0.5979945,0.5610025,2.6156056,0.3380363,2.2775693,0.0,0.0,0.0,-25.5929872591985,0.0
DE,181.696342493332,-7.19011010132464,90.3979254619655,38.7106728452829,57.730714214966,123.965628278366,3.71756174879789,11.2147537180805,23.7357333202855,40.9378645893605,10.7920120854411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5661104757604,2.5661104757604,0.0,15.0899262546007,12.9846406336619,0.851941620938824,1.253344,13.4843637830769,1.46572271362842,11.7550451694485,0.2635959,0.0,-11.3114506476635,-41.8771535989865,30.5657029513229,0.84981125,0.00294325,0.846868,0.65991802,0.0516136,0.60830442,0.0,0.0,0.0,21.3386791357745,0.0
GB,80.0813115435093,18.5917366481052,35.6108790077818,11.662532152758,37.1756196613572,42.9056918821521,2.74432913466972,6.1369120363711,9.24546478425599,16.067150570615,1.41702248187005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10299644690258,1.10299644690258,0.0,8.75283009667816,8.25316727839889,0.499662818279274,0.0,7.08585846230358,1.02272300174832,6.06313546055526,0.0,0.0,-25.4751513432552,-27.0446825731804,1.5695312299252,0.02076,0.0,0.02076,1.13581806,0.10023826,1.0355798,0.0,0.0,0.0,-7.37688827737086,0.0
IT,143.918646164622,6.81372201123887,37.252978056191,27.6269974227589,101.454322963928,42.4643232006939,2.75900797431589,6.32175421475005,8.02316314451991,20.1490527226052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464767988512329,0.464767988512329,0.0,9.87518696492473,7.74762686987126,0.451088095053471,1.676472,5.9634635263565,0.806227459386522,5.15339782696998,0.00383824,0.0,-55.4333110413153,-52.1655099512774,-3.26780109003786,0.29075275,0.189765,0.10098775,0.556366,0.00070924,0.55565676,0.0,0.0,0.0,-38.2827738115217,0.0
ES,83.8621702581695,-3.15512712885309,55.9415848254235,3.04703113829631,50.4470738615365,33.415096396633,1.90077282620418,8.489744184649,9.87157269286425,35.202155458535,0.477339663171069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49458155499175,0.49458155499175,0.0,8.71453952842091,7.36833962068156,0.874590157739346,0.47160975,7.35808993300032,0.636335768450403,6.71544550454992,0.00630866,0.0,-37.4938442331462,-36.469215615626,-1.02462861752018,0.180379,0.16782175,0.01255725,0.31931892,0.15477226,0.16454666,0.0,0.0,0.0,-20.4269352967332,0.0
PL,80.3185905359742,-3.80684676151845,52.0994660581896,27.7035794711361,32.5237416021648,47.7948489338094,1.75919784020994,5.73642184972582,11.7597297445594,32.6527913241467,0.191325299547683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840489805321379,0.840489805321379,0.0,6.82815863501927,6.59060228362106,0.213324851398205,0.0242315,8.81746301111611,0.785358255036994,8.02089697607912,0.01120778,0.0,-44.2680558857709,-39.4495032181793,-4.81855266759157,0.036363,0.034092,0.002271,1.09662212,0.00833804,1.08828408,0.0,0.0,0.0,-26.6489593143142,0.0
SE,111.423075102441,-6.64654004982937,14.2970055065171,10.6420454903493,5.47755423939879,105.945520863043,0.409543136759523,0.970723083437556,2.82234165579206,6.131475665076,3.96292196545192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175844977094109,0.175844977094109,0.0,1.43653186162799,1.40147580232961,0.0350560592983823,0.0,1.56840363817696,0.125816957365623,1.44258668081133,0.0,0.0,-48.4894345913419,-43.007677300003,-5.48175729133887,0.22052525,0.00164575,0.2188795,0.17658884,0.04080812,0.13578072,0.0,0.0,0.0,-44.9115400244429,0.0
NL,9.15708771388343,8.71921739682463,10.1477947364392,5.61522191410099,3.34883125230232,5.8082564615811,0.716646696397769,5.01158389216218,1.49648055277784,2.92308359510145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659729951372895,0.0659729951372895,0.0,5.23241263599967,4.68561525902823,0.546797376971439,0.0,3.83559523529565,0.264261598304743,3.57133363699091,0.0,0.0,6.0507059726143,-2.55436814678707,8.60507411940137,0.00032675,0.000272,5.475e-05,0.12944524,0.00526566,0.12417958,0.0,0.0,0.0,15.3144588290469,0.0
BE,15.5257452734447,7.60816618541548,7.73682992505585,3.91152781318529,5.48179661232323,10.0439486611214,0.527033734597905,2.15202135093812,1.85489632229451,2.73310588041105,0.469772636814266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16492973292356,0.16492973292356,0.0,2.37187388818038,2.19269943457969,0.179174453600691,0.0,2.21615914216962,0.238482143008585,1.97767699916104,0.0,0.0,-0.760525140609654,-3.39184183812662,2.63131669751696,0.0,0.0,0.0,0.15495404,2.086e-05,0.15493318,0.0,0.0,0.0,4.14739166266391,0.0
FI,157.294872852468,-21.4287968651052,9.99080435146644,0.732080133532948,45.3564738863418,111.938398966126,0.224987059953268,0.653868284000622,1.74856940107113,5.28829818963002,2.0750814168114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353817064760436,0.353817064760436,0.0,1.05937705848083,0.993955669256229,0.0632293892246038,0.002192,1.36536600947886,0.102565224634471,1.26212432484439,0.00067646,0.0,-34.1703466879721,-41.6700153008156,7.49966861284357,0.07632325,0.0004125,0.07591075,0.15085952,0.01493278,0.13592674,0.0,0.0,0.0,-31.1646037852519,0.0
CZ,40.842861705683,-1.78295041769143,15.2275946379632,4.121230202238,5.45483724961922,35.3880244560638,0.418880493138388,1.08096484319763,4.02048753215526,8.79896000228447,0.908301767187483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254207774173168,0.254207774173168,0.0,1.50084301917308,1.40372988425849,0.0971131349145959,0.0,1.78683227309647,0.313298387463117,1.47353388563336,0.0,0.0,-5.78496760498608,-3.89301199057114,-1.89195561441493,0.031663,0.031663,0.0,0.0258664,0.02087788,0.00498852000000001,0.0,0.0,0.0,-2.18555513854335,0.0
DK,19.2331880210209,22.7294468658381,13.1654698651939,4.57266980117067,6.8757772981387,12.3574107228822,0.268463459093159,2.37831321013789,3.67082438943255,6.84786880653028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24828194837545,0.24828194837545,0.0,2.17491038837604,1.91391300202937,0.25793638634667,0.003061,2.82214439955541,0.301369483091885,2.51983025646352,0.00094466,0.0,10.6688064031909,7.70097986333656,2.96782653985433,0.02812525,0.0,0.02812525,0.01015882,0.0,0.01015882,0.0,0.0,0.0,15.9524272094978,0.0
PT,30.7900145637908,-1.38455504324873,5.46255623262022,1.91906491356645,6.39142366285311,24.3985909009377,0.46761339346342,1.38673993946058,0.654115214927464,2.95408768476876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342276211400061,0.0342276211400061,0.0,2.1795389217345,1.90323800641561,0.102646165318896,0.17365475,1.27620118376552,0.0609433486510515,1.19863241511447,0.01662542,0.0,-9.61096086806606,-6.09194464583675,-3.51901622222932,0.14088125,0.06658475,0.0742965,0.35563022,0.03464846,0.32098176,0.0,0.0,0.0,-5.62448167142603,0.0
RO,44.5638882671714,-2.01207574576119,48.8349632536483,5.39345019402028,16.1163423217547,28.4475459454167,1.01490959600106,4.19212260815801,8.80170886154175,34.8262221879474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089136540122377,0.089136540122377,0.0,6.74669010381433,6.04628766551046,0.25187768830387,0.44852475,3.69396060241672,0.277727874773781,3.25287508764294,0.16335764,0.0,-28.6400320238227,-19.3196930703665,-9.32033895345625,0.00109875,0.00109875,0.0,1.99085456,0.00036058,1.99049398,0.0,0.0,0.0,-16.1182914674693,0.0
