,Total population,Total GHG emissions from non-energy sources,Total net GHG emissions from non-energy sources in agriculture,GHG emissions from non-energy sources in industry (process emissions),GHG emissions from non-energy sources in waste management,GHG emissions from non-energy sources in other sectors (industrial product use),Total final energy consumption,Final energy consumption from solid fossil fuels (coal ...),Final energy consumption from solid biomass,Final oil consumption,Final energy consumption from gas grid / gas consumed locally,Final electricity consumption,Final energy consumption from heating networks,Final energy consumption from ambient heat (heat pumps…),Final energy consumption from thermal solar,Any general comment on Demography?,Any general comment on GHG emissions?
FR,65240.1621359223,0.0,31.676931808316,28.7425326528366,16.2702452428539,14.5626107361851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,83135.181,0.0,48.642964539223,60.8550522806199,9.3377847345511,9.64595024801731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,67137.0946049519,0.0,19.6991596971634,20.8357196268887,16.8266829208106,12.0207008148063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,60286.529,0.0,-7.19809248256385,25.6026598540691,17.3939011548368,15.058664583053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,47321.434,0.0,-10.2417341739893,20.2439950170821,13.6202849568232,7.2535164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,37941.122,0.0,1.78726417975995,18.0792308261564,11.5816196502762,5.44195785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,10322.613,0.0,-39.8806399214568,12.3445937227171,1.15792078366854,0.965837683525849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,17404.793,0.0,24.0173235830652,14.7725043053194,2.8336693576916,1.41200849201396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,11507.338,0.0,8.52235529387758,11.8544192391767,1.34782291596217,2.56788890972176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,5527.189,0.0,-24.732417644732,11.2452552609399,1.70844317495599,1.09330746442848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,10693.861,0.0,1.06242977442205,7.51945387775581,4.91852402214951,3.40575469852212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,5811.651,0.0,14.4651876777425,2.27506819624711,1.10711714101522,0.37132065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,10291.457,0.0,-2.05225596673022,4.58768232687936,4.1983889528776,2.96896138645007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,19281.118,0.0,-6.80685113269232,6.88966186225316,5.59275275692423,2.0017294611638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,8904.262,0.0,2.69656202931402,9.66736856124232,1.25829565244958,1.66492320726447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,6949.549,0.0,-0.43403092585136,2.6569219751896,3.14097190994959,1.71371514063237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,1329.916,0.0,-1.07867905296157,0.457715031614109,0.288163812146774,0.208424690013427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,10696.535,0.0,4.59463882145959,2.57217006410256,4.39819919562303,5.40937292292844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,1907.094,0.0,2.74931104043032,0.847160065049773,0.54546529957724,0.237666928304815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,9771.975,0.0,1.1723195126902,4.68270123869421,3.17511183596898,1.83683702372281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,4966.879,0.0,21.6834002490624,2.30708311525265,0.97532045144188,0.9266997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,5457.679,0.0,-4.24560875406039,4.46411927232499,1.57955638931066,0.705930175338613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,2793.592,0.0,-2.59454100601495,1.10536530233774,0.871124484723759,0.551977710193049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,4056.285,0.0,-2.39192220718475,1.17028420619037,1.76079319562417,0.504314840388949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,626.031,0.0,-0.443895801161864,0.614968552336934,0.0756813745964894,0.0568971551498807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,2095.314,0.0,-3.37832248507433,1.32063891793123,0.446021713014322,0.295537747242416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,8580.27,0.0,9.30953517493214,2.7445291554216,0.765819391331905,1.35579203927195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,5367.329,0.0,-42.5670481095346,6.29085037184426,1.07425888546635,0.863400825270879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
